,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
472,472,Lavrentiya,65.5833,-171.0,43.5,90,100,5.5,RU,2022-09-08 02:51:13,light rain
473,473,Ungheni,47.2042,27.7958,57.85,88,0,0.0,MD,2022-09-08 02:51:14,clear sky
474,474,Genhe,50.7833,121.5167,62.46,31,0,7.78,CN,2022-09-08 02:51:14,clear sky
475,475,Khani,41.9563,42.9566,45.97,71,1,5.23,GE,2022-09-08 02:51:15,clear sky
476,476,Santiago De Cao,-7.9589,-79.2392,60.93,88,100,8.05,PE,2022-09-08 02:51:16,fog
477,477,Qaracala,39.8132,48.9523,67.66,67,100,7.4,AZ,2022-09-08 02:51:17,overcast clouds
481,481,Bertoua,4.5833,13.6833,67.59,99,100,3.02,CM,2022-09-08 02:51:19,light rain
482,482,Bereda,43.2686,-7.5406,61.41,100,100,3.8,ES,2022-09-08 02:51:20,overcast clouds
484,484,Abancay,-13.6339,-72.8814,55.27,73,11,3.4,PE,2022-09-08 02:51:21,few clouds
487,487,Vesoul,47.5833,5.8333,63.41,97,100,7.63,FR,2022-09-08 02:51:24,overcast clouds
488,488,Zambezi,-13.5432,23.1047,61.23,38,0,8.03,ZM,2022-09-08 02:51:24,clear sky
489,489,Dnestrovsc,46.6222,29.9133,59.09,92,53,8.86,MD,2022-09-08 02:51:25,broken clouds
490,490,Mathathane,-22.2687,28.7495,54.36,88,0,4.94,BW,2022-09-08 02:51:25,clear sky
491,491,Berdigestyakh,62.0989,126.6992,50.67,63,92,15.3,RU,2022-09-08 02:51:26,overcast clouds
494,494,Alpena,45.0617,-83.4327,67.06,88,0,0.0,US,2022-09-08 02:51:29,clear sky
496,496,Ust-Nera,64.5667,143.2,47.68,86,100,4.88,RU,2022-09-08 02:52:30,overcast clouds
497,497,George,-33.963,22.4617,53.29,59,2,3.67,ZA,2022-09-08 02:52:30,clear sky
498,498,Primorsk,46.7348,36.3443,50.43,51,0,4.23,UA,2022-09-08 02:52:31,clear sky
501,501,Bundibugyo,0.7414,30.0417,65.93,84,100,1.77,UG,2022-09-08 02:52:32,overcast clouds
