,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
513,Chancay,PE,59.02,overcast clouds,-11.5714,-77.2672,Hotel el mar
516,Kalmar,SE,44.53,few clouds,56.6616,16.3616,Hotell Hilda
517,Caravelas,BR,68.85,overcast clouds,-17.7125,-39.2481,San Bernardo Apart Hotel
518,Gondar,ET,55.54,overcast clouds,12.6,37.4667,Florida International Hotel
519,Truro,GB,60.08,few clouds,50.2653,-5.0544,Premier Inn Truro hotel
520,Ciortesti,RO,56.52,few clouds,46.9,27.8333,Romava
522,Komsomolets,KZ,46.13,broken clouds,53.7453,62.0708,Gostinitsa Zhemchuzhina
523,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,Hotel Ciudad de Avila
526,Flin Flon,CA,62.04,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
528,Lasa,IT,65.28,light rain,46.6166,10.7002,Gasthof Hotel Sonne Silandro
529,Christchurch,NZ,55.94,broken clouds,-43.5333,172.6333,Garden Hotel
530,Vanavara,RU,49.98,moderate rain,60.34,102.2797,Hotel MX congreso
533,Kologriv,RU,42.55,overcast clouds,58.8275,44.3178,Eco Hotel Unzha
535,Paraiso,CR,68.88,overcast clouds,9.8383,-83.8656,Hotel Reventazón
536,Orvault,FR,64.65,broken clouds,47.271,-1.6219,Hôtel Coeur de Loire
537,Semey,KZ,61.02,clear sky,50.4111,80.2275,Mini Hotel VIP
538,Ostersund,SE,48.65,overcast clouds,63.1792,14.6357,Clarion Hotel Grand Östersund
545,Qaqortoq,GL,43.52,overcast clouds,60.7167,-46.0333,Siniffik Inn
546,Paternion,AT,64.8,broken clouds,46.7142,13.6361,Landhotel - Naturrestaurant Kärntner Stub'n
549,Batemans Bay,AU,64.09,moderate rain,-35.7167,150.1833,Bayview Hotel
552,Kedrovyy,RU,59.41,broken clouds,56.1667,91.8167,Гостиница Аэропорт Емельяново
553,Krasnogvardeyskiy,RU,42.6,broken clouds,57.3793,62.3195,Zarya
555,Abalak,RU,43.2,overcast clouds,58.1286,68.5944,Hotel Georgievskaya
562,Nurota,UZ,67.93,clear sky,40.5614,65.6886,Guest House Ruslan Nurata
566,Mutoko,ZW,47.95,clear sky,-17.397,32.2268,Mutoko Hotel
571,Betare Oya,CM,66.09,moderate rain,5.6,14.0833,Hotel De Paris
573,Belyy Yar,RU,67.89,clear sky,53.6039,91.3903,Abakan hotel
574,Ndele,CF,68.9,moderate rain,8.4109,20.6473,Hotel Levy's
