City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
117,Maldonado,-34.6667,-54.9167,55.22,40,1,5.08,UY,2022-09-11 18:02:18,clear sky
118,Boralday,43.3578,76.8594,55.26,82,100,2.24,KZ,2022-09-11 18:03:07,overcast clouds
119,Mlowo,-9.0,32.9833,66.42,54,80,4.21,TZ,2022-09-11 18:03:08,broken clouds
120,Khatanga,71.9667,102.5,32.45,81,95,6.24,RU,2022-09-11 18:03:08,overcast clouds
121,Hobart,-42.8794,147.3294,41.25,84,40,11.5,AU,2022-09-11 18:00:04,light rain
122,Butaritari,3.0707,172.7902,82.27,66,81,13.13,KI,2022-09-11 18:03:09,broken clouds
123,Cartagena,10.3997,-75.5144,84.22,74,100,9.24,CO,2022-09-11 18:03:09,overcast clouds
124,Peace River,56.2501,-117.286,63.36,30,71,10.18,CA,2022-09-11 18:03:10,broken clouds
125,Takoradi,4.8845,-1.7554,77.68,78,66,11.45,GH,2022-09-11 18:03:10,broken clouds
126,Mahibadhoo,3.7833,72.9667,81.18,81,44,11.36,MV,2022-09-11 18:02:01,scattered clouds
127,Masuguru,-11.3667,38.4167,80.06,43,39,11.25,TZ,2022-09-11 18:03:11,scattered clouds
128,Airai,-8.9266,125.4092,56.71,87,66,2.15,TL,2022-09-11 18:03:11,broken clouds
129,Tiksi,71.6872,128.8694,36.16,96,100,16.91,RU,2022-09-11 18:03:12,light rain
130,Namibe,-15.1961,12.1522,64.69,90,33,10.38,AO,2022-09-11 18:03:12,scattered clouds
131,Labuhan,-6.8844,112.2051,79.09,82,80,5.44,ID,2022-09-11 18:03:12,broken clouds
132,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,91.94,48,24,1.61,BR,2022-09-11 18:03:13,few clouds
133,Hasaki,35.7333,140.8333,73.8,87,79,18.68,JP,2022-09-11 18:03:13,broken clouds
134,Kavieng,-2.5744,150.7967,81.01,65,42,15.82,PG,2022-09-11 18:04:14,scattered clouds
135,Coahuayana,18.7333,-103.6833,89.1,63,100,5.03,MX,2022-09-11 18:04:14,overcast clouds
136,Saldanha,-33.0117,17.9442,55.22,70,48,22.21,ZA,2022-09-11 18:04:15,scattered clouds
137,Pacific Grove,36.6177,-121.9166,83.88,76,20,5.75,US,2022-09-11 18:02:06,few clouds
138,Soe,-9.8607,124.284,62.33,95,40,3.65,ID,2022-09-11 18:04:15,scattered clouds
139,Yar-Sale,66.8333,70.8333,45.43,83,99,15.97,RU,2022-09-11 18:04:16,overcast clouds
140,Bud,39.447,-86.1758,72.86,96,99,5.82,US,2022-09-11 18:04:16,moderate rain
141,Nanortalik,60.1432,-45.2371,44.17,83,32,9.44,GL,2022-09-11 18:03:16,scattered clouds
142,Okhotsk,59.3833,143.3,44.08,55,18,15.97,RU,2022-09-11 18:04:17,few clouds
143,Bijie,27.3125,105.2942,58.42,97,70,1.41,CN,2022-09-11 18:04:18,broken clouds
144,Bandarbeyla,9.4942,50.8122,78.84,78,5,31.14,SO,2022-09-11 18:04:18,clear sky
145,Ucluelet,48.9329,-125.5528,62.91,91,87,1.01,CA,2022-09-11 18:04:19,overcast clouds
146,Katsuura,35.1333,140.3,75.85,86,95,18.77,JP,2022-09-11 18:04:19,overcast clouds
147,Tchibanga,-2.85,11.0333,73.96,76,68,6.85,GA,2022-09-11 18:04:20,broken clouds
148,Mednogorskiy,43.9178,41.1825,57.38,64,60,5.68,RU,2022-09-11 18:04:20,broken clouds
149,Mitsamiouli,-11.3847,43.2844,75.81,72,50,4.0,KM,2022-09-11 18:04:21,scattered clouds
150,Sitka,57.0531,-135.33,55.65,73,79,4.76,US,2022-09-11 18:04:21,broken clouds
151,Coihaique,-45.5752,-72.0662,45.66,88,100,9.08,CL,2022-09-11 18:02:57,overcast clouds
152,Saint-Philippe,-21.3585,55.7679,67.59,81,12,9.69,RE,2022-09-11 18:04:22,light rain
153,Nishihara,26.1842,127.7558,82.06,83,0,11.5,JP,2022-09-11 18:04:22,clear sky
154,Varzea Grande,-15.6467,-56.1325,94.87,29,85,3.44,BR,2022-09-11 18:01:29,overcast clouds
155,Arraial Do Cabo,-22.9661,-42.0278,69.66,68,100,6.91,BR,2022-09-11 18:04:23,overcast clouds
156,Vuktyl,63.8567,57.3094,41.16,95,96,5.14,RU,2022-09-11 18:04:23,overcast clouds
157,Asosa,10.0667,34.5333,60.58,95,86,2.26,ET,2022-09-11 18:04:23,overcast clouds
158,Hithadhoo,-0.6,73.0833,82.04,71,39,13.96,MV,2022-09-11 18:04:24,scattered clouds
159,Yarim,14.298,44.3779,62.08,52,92,4.97,YE,2022-09-11 18:04:24,overcast clouds
160,Viet Tri,21.3019,105.4308,80.55,96,100,3.56,VN,2022-09-11 18:04:25,moderate rain
161,Doha,25.2867,51.5333,93.51,66,32,5.75,QA,2022-09-11 18:04:25,scattered clouds
162,Chota,-6.55,-78.65,67.64,50,66,7.81,PE,2022-09-11 18:04:26,broken clouds
163,Poum,-20.2333,164.0167,75.47,82,8,7.38,NC,2022-09-11 18:04:26,clear sky
164,Lata,40.1629,-8.3327,79.07,62,100,6.67,PT,2022-09-11 18:04:26,overcast clouds
165,Nalut,30.3333,10.85,94.17,17,35,8.3,LY,2022-09-11 18:04:27,scattered clouds
166,Princeton,25.5384,-80.4089,95.02,69,75,10.36,US,2022-09-11 18:04:27,broken clouds
167,Flin Flon,54.7682,-101.865,71.02,28,5,6.46,CA,2022-09-11 18:00:42,clear sky
168,Yellowknife,62.456,-114.3525,43.12,73,100,11.45,CA,2022-09-11 18:01:21,overcast clouds
169,Torbay,47.6666,-52.7314,59.76,97,100,25.99,CA,2022-09-11 18:03:21,light rain
170,Isla Mujeres,21.2311,-86.731,86.16,85,98,9.06,MX,2022-09-11 18:04:28,overcast clouds
171,Kieta,-6.2167,155.6333,76.66,81,13,1.16,PG,2022-09-11 18:04:28,few clouds
172,Huarmey,-10.0681,-78.1522,68.27,67,30,13.04,PE,2022-09-11 18:04:29,scattered clouds
173,Iwakuni,34.15,132.1833,78.28,78,40,5.75,JP,2022-09-11 18:04:29,scattered clouds
174,Chapais,49.7834,-74.8492,74.98,47,35,8.55,CA,2022-09-11 18:02:46,scattered clouds
175,Kabare,-2.4683,28.8242,66.61,80,93,2.06,CD,2022-09-11 18:04:30,overcast clouds
176,Atar,20.5169,-13.0499,104.95,16,39,17.78,MR,2022-09-11 18:04:30,scattered clouds
177,Hofn,64.2539,-15.2082,52.83,76,78,16.28,IS,2022-09-11 18:04:31,broken clouds
178,Dolinsk,47.35,142.8,55.74,66,80,4.65,RU,2022-09-11 18:04:31,broken clouds
179,Victoria,22.2855,114.1577,86.38,78,4,5.99,HK,2022-09-11 18:03:06,clear sky
180,Cabo San Lucas,22.8909,-109.9124,88.9,72,20,9.22,MX,2022-09-11 18:04:02,few clouds
181,Talnakh,69.4865,88.3972,35.31,99,100,9.06,RU,2022-09-11 18:04:32,light snow
182,Riyadh,24.6877,46.7219,95.14,10,20,8.32,SA,2022-09-11 18:03:00,few clouds
183,Rio Gallegos,-51.6226,-69.2181,51.93,41,100,30.53,AR,2022-09-11 18:01:51,overcast clouds
